date,item,count,sales_cat,semester,menu_condition
17-Oct,Create Your Pasta Bowl VEG,33,Italian,Fall 2024,Control
17-Oct,Pizza with Toppings,37,Italian,Fall 2024,Control
17-Oct,Pizza Cheese,27,Italian,Fall 2024,Control
17-Oct,Add Extra Meat,24,Italian,Fall 2024,Control
17-Oct,Side Bread Pasta Station,2,Italian,Fall 2024,Control
17-Oct,Burrito Breakfast,85,Breakfast,Fall 2024,Control
17-Oct,Small French Omelet,61,Breakfast,Fall 2024,Control
17-Oct,Egg Cheese Sausage Breakfast San,36,Breakfast,Fall 2024,Control
17-Oct,Egg Cheese Bacon Breakfast Sandw,34,Breakfast,Fall 2024,Control
17-Oct,Grand Slam Breakfast,15,Breakfast,Fall 2024,Control
17-Oct,Add Bacon,28,Breakfast,Fall 2024,Control
17-Oct,Two Eggs,17,Breakfast,Fall 2024,Control
17-Oct,Trillium Home Fries,1,Breakfast,Fall 2024,Control
17-Oct,Pancake Single,1,Breakfast,Fall 2024,Control
17-Oct,2 Slices Toast,1,Breakfast,Fall 2024,Control
17-Oct,Toast,1,Breakfast,Fall 2024,Control
17-Oct,Burrito Bowl BYO,103,Mexican,Fall 2024,Control
17-Oct,Single Taco,4,Mexican,Fall 2024,Control
17-Oct,Side Guacamole,4,Mexican,Fall 2024,Control
17-Oct,Side Salsa,3,Mexican,Fall 2024,Control
17-Oct,Add Extra Toppings Una Mano,2,Mexican,Fall 2024,Control
17-Oct,Salad by the Pound,57,Salad Bar,Fall 2024,Control
17-Oct,Add Extra Protein $2.99,1,Salad Bar,Fall 2024,Control
17-Oct,8 oz Soup,35,Soup,Fall 2024,Control
17-Oct,Soup 12 oz,28,Soup,Fall 2024,Control
17-Oct,Side Potato Tots,18,Grab N Go,Fall 2024,Control
18-Oct,Quesadilla Deluxe Trillium,105,Grill,Fall 2024,Control
18-Oct,Grilled Hamburger,66,Grill,Fall 2024,Control
18-Oct,Fried Chicken Tenders,54,Grill,Fall 2024,Control
18-Oct,Burrito Una Mano Trillium BYO,42,Grill,Fall 2024,Control
18-Oct,French Fries,101,Grill,Fall 2024,Control
18-Oct,Quesadilla Cheese,14,Grill,Fall 2024,Control
18-Oct,Grilled Chicken Breast Sandwich,11,Grill,Fall 2024,Control
18-Oct,Seared Salmon Burger,8,Grill,Fall 2024,Control
18-Oct,ADD Beef Patty $2.99,11,Grill,Fall 2024,Control
18-Oct,Trillium Grill Impossible Burger,2,Grill,Fall 2024,Control
18-Oct,Black Bean Burger,2,Grill,Fall 2024,Control
18-Oct,Add Sausage 2 Patty,2,Grill,Fall 2024,Control
18-Oct,ADD Chicken Breast,1,Grill,Fall 2024,Control
18-Oct,ADD Cheese,4,Grill,Fall 2024,Control
18-Oct,Add Egg $.99,1,Grill,Fall 2024,Control
18-Oct,1 Entree + 1 Side,103,Asian,Fall 2024,Control
18-Oct,1 Entree + 2 Side,63,Asian,Fall 2024,Control
18-Oct,Bowl Ramen Chicken,44,Asian,Fall 2024,Control
18-Oct,2 Entrees + 2 Sides,20,Asian,Fall 2024,Control
18-Oct,Bowl Ramen Tofu,21,Asian,Fall 2024,Control
18-Oct,Side White or Brown Rice,12,Asian,Fall 2024,Control
18-Oct,Side Vegetarian Lo Mein,4,Asian,Fall 2024,Control
18-Oct,1 Wok Entree,2,Asian,Fall 2024,Control
18-Oct,Side Vegetable Spring Rolls,1,Asian,Fall 2024,Control
18-Oct,Side Vegetarian Fried Rice with,1,Asian,Fall 2024,Control
18-Oct,Burrito Breakfast,84,Breakfast,Fall 2024,Control
18-Oct,Small French Omelet,47,Breakfast,Fall 2024,Control
18-Oct,Egg Cheese Sausage Breakfast San,36,Breakfast,Fall 2024,Control
18-Oct,Grand Slam Breakfast,15,Breakfast,Fall 2024,Control
18-Oct,Egg Cheese Bacon Breakfast Sandw,23,Breakfast,Fall 2024,Control
18-Oct,Add Bacon,21,Breakfast,Fall 2024,Control
18-Oct,Two Eggs,10,Breakfast,Fall 2024,Control
18-Oct,Pancake Single,6,Breakfast,Fall 2024,Control
18-Oct,Trillium Home Fries,2,Breakfast,Fall 2024,Control
18-Oct,PC Jelly,1,Breakfast,Fall 2024,Control
18-Oct,Create Your Pasta Bowl MEAT,83,Italian,Fall 2024,Control
18-Oct,Pizza with Toppings,23,Italian,Fall 2024,Control
18-Oct,Pizza Cheese,27,Italian,Fall 2024,Control
18-Oct,Create Your Pasta Bowl VEG,13,Italian,Fall 2024,Control
18-Oct,Add Extra Meat,14,Italian,Fall 2024,Control
18-Oct,Burrito Bowl BYO,81,Mexican,Fall 2024,Control
18-Oct,Single Taco,4,Mexican,Fall 2024,Control
18-Oct,8 oz Soup,39,Soup,Fall 2024,Control
18-Oct,Soup 12 oz,24,Soup,Fall 2024,Control
18-Oct,Salad by the Pound,34,Salad Bar,Fall 2024,Control
18-Oct,Add Extra Protein $2.99,1,Salad Bar,Fall 2024,Control
18-Oct,Side Potato Tots,15,Grab N Go,Fall 2024,Control
21-Oct,Quesadilla Deluxe Trillium,154,Grill,Fall 2024,Control
