date,time,count,menu_condition
28-Jan,12:30 PM,74,Control
28-Jan,12:45 PM,101,Control
28-Jan,1:00 PM,248,Control
28-Jan,1:15 PM,161,Control
28-Jan,1:30 PM,73,Control
28-Jan,1:45 PM,34,Control
28-Jan,2:00 PM,41,Control
28-Jan,2:15 PM,65,Control
28-Jan,2:30 PM,57,Control
28-Jan,2:45 PM,65,Control
28-Jan,3:00 PM,2,Control
28-Jan,8:00 AM,19,Control
28-Jan,8:15 AM,14,Control
28-Jan,8:30 AM,14,Control
28-Jan,8:45 AM,31,Control
28-Jan,9:00 AM,32,Control
28-Jan,9:15 AM,26,Control
28-Jan,9:30 AM,14,Control
28-Jan,9:45 AM,31,Control
29-Jan,10:00 AM,52,Control
29-Jan,10:15 AM,29,Control
29-Jan,10:30 AM,14,Control
29-Jan,10:45 AM,14,Control
29-Jan,11:00 AM,123,Control
29-Jan,11:15 AM,106,Control
29-Jan,11:30 AM,145,Control
29-Jan,11:45 AM,90,Control
29-Jan,12:00 PM,113,Control
29-Jan,12:15 PM,179,Control
29-Jan,12:30 PM,154,Control
29-Jan,12:45 PM,94,Control
29-Jan,1:00 PM,188,Control
29-Jan,1:15 PM,142,Control
29-Jan,1:30 PM,73,Control
29-Jan,1:45 PM,37,Control
29-Jan,2:00 PM,27,Control
29-Jan,2:15 PM,66,Control
29-Jan,2:30 PM,30,Control
29-Jan,2:45 PM,32,Control
29-Jan,3:00 PM,1,Control
29-Jan,8:00 AM,16,Control
29-Jan,8:15 AM,27,Control
29-Jan,8:30 AM,29,Control
29-Jan,8:45 AM,25,Control
29-Jan,9:00 AM,20,Control
29-Jan,9:15 AM,19,Control
29-Jan,9:30 AM,34,Control
29-Jan,9:45 AM,36,Control
30-Jan,10:00 AM,42,Control
30-Jan,10:15 AM,30,Control
30-Jan,10:30 AM,10,Control
30-Jan,10:45 AM,14,Control
30-Jan,11:00 AM,82,Control
30-Jan,11:15 AM,92,Control
30-Jan,11:30 AM,173,Control
30-Jan,11:45 AM,136,Control
30-Jan,12:00 PM,117,Control
30-Jan,12:15 PM,134,Control
30-Jan,12:30 PM,73,Control
30-Jan,12:45 PM,96,Control
30-Jan,1:00 PM,214,Control
